roi_name	roi_num
V1	1
MST	2
V6	3
V2	4
V3	5
V4	6
V8	7
4	8
3b	9
FEF	10
PEF	11
55b	12
V3A	13
RSC	14
POS2	15
V7	16
IPS1	17
FFC	18
V3B	19
LO1	20
LO2	21
PIT	22
MT	23
A1	24
PSL	25
SFL	26
PCV	27
STV	28
7Pm	29
7m	30
POS1	31
23d	32
v23ab	33
d23ab	34
31pv	35
5m	36
5mv	37
23c	38
5L	39
24dd	40
24dv	41
7AL	42
SCEF	43
6ma	44
7Am	45
7Pl	46
7PC	47
LIPv	48
VIP	49
MIP	50
1	51
2	52
3a	53
6d	54
6mp	55
6v	56
p24pr	57
33pr	58
a24pr	59
p32pr	60
a24	61
d32	62
8BM	63
p32	64
10r	65
47m	66
8Av	67
8Ad	68
9m	69
8BL	70
9p	71
10d	72
8C	73
44	74
45	75
47l	76
a47r	77
6r	78
IFJa	79
IFJp	80
IFSp	81
IFSa	82
p9-46v	83
46	84
a9-46v	85
9-46d	86
9a	87
10v	88
a10p	89
10pp	90
11l	91
13l	92
OFC	93
47s	94
LIPd	95
6a	96
i6-8	97
s6-8	98
43	99
OP4	100
OP1	101
OP2-3	102
52	103
RI	104
PFcm	105
PoI2	106
TA2	107
FOP4	108
MI	109
Pir	110
AVI	111
AAIC	112
FOP1	113
FOP3	114
FOP2	115
PFt	116
AIP	117
EC	118
PreS	119
H	120
ProS	121
PeEc	122
STGa	123
PBelt	124
A5	125
PHA1	126
PHA3	127
STSda	128
STSdp	129
STSvp	130
TGd	131
TE1a	132
TE1p	133
TE2a	134
TF	135
TE2p	136
PHT	137
PH	138
TPOJ1	139
TPOJ2	140
TPOJ3	141
DVT	142
PGp	143
IP2	144
IP1	145
IP0	146
PFop	147
PF	148
PFm	149
PGi	150
PGs	151
V6A	152
VMV1	153
VMV3	154
PHA2	155
V4t	156
FST	157
V3CD	158
LO3	159
VMV2	160
31pd	161
31a	162
VVC	163
25	164
s32	165
pOFC	166
PoI1	167
Ig	168
FOP5	169
p10p	170
p47r	171
TGv	172
MBelt	173
LBelt	174
A4	175
STSva	176
TE1m	177
PI	178
a32pr	179
p24	180
